Airline,Origin,Destination,Distance,DepTime,ArrDelay,Delayed
AA,DEN,DEN,564,1914,119,1
WN,CLT,LAX,668,482,78,1
B6,SFO,DFW,2508,163,67,1
AA,DFW,ORD,1510,717,13,0
DL,DFW,LAX,1557,1412,53,1
WN,ORD,CLT,2823,1924,130,1
B6,ATL,LAX,1379,2076,71,1
AS,CLT,ATL,2137,1119,154,1
AA,DFW,CLT,349,568,137,1
B6,LAS,LAS,2579,2247,103,1
DL,ORD,DEN,959,345,136,1
WN,ORD,DFW,2500,235,170,1
WN,CLT,ATL,331,550,61,1
AS,CLT,JFK,705,830,133,1
AS,SFO,DFW,278,918,117,1
AS,DEN,ATL,1857,292,174,1
B6,SFO,DEN,1076,2007,68,1
AA,SFO,DEN,2775,51,90,1
UA,DEN,SFO,753,2013,65,1
WN,LAS,ATL,906,1409,154,1
UA,DFW,JFK,1590,1808,-7,0
NK,DFW,ORD,2307,1021,41,1
WN,DEN,LAS,1530,1957,99,1
AS,ATL,DFW,2175,88,153,1
AA,LAS,ORD,409,144,175,1
AA,LAX,CLT,869,21,26,1
WN,ORD,JFK,2995,1605,102,1
B6,LAS,ATL,1586,718,44,1
NK,JFK,ORD,2991,763,100,1
AS,DFW,LAX,1357,1989,56,1
AA,ORD,LAX,1027,1820,34,1
NK,ORD,DFW,2485,507,3,0
NK,JFK,SFO,2347,1407,166,1
AA,CLT,LAS,2179,1958,147,1
DL,ORD,DFW,1482,779,65,1
NK,ATL,LAX,326,1145,92,1
AA,DFW,ATL,1596,1255,144,1
DL,DFW,ATL,2492,1628,33,1
AA,LAX,DEN,1060,1687,-2,0
AA,SFO,LAX,2094,16,8,0
NK,DEN,ORD,2868,2157,41,1
B6,SFO,DEN,916,2200,174,1
B6,ORD,ATL,746,1593,58,1
AS,CLT,DEN,2822,1618,26,1
AA,DEN,DEN,1470,1280,176,1
AS,SFO,ORD,1776,1682,88,1
AS,LAS,SFO,2332,1513,-2,0
AS,CLT,ATL,2789,1687,174,1
AS,CLT,SFO,1411,1750,59,1
WN,ORD,LAS,1416,1143,121,1
NK,JFK,ORD,1553,1934,121,1
NK,JFK,LAS,841,547,66,1
WN,LAX,LAX,2919,2183,177,1
AA,CLT,DFW,833,1107,103,1
WN,DEN,ATL,769,515,147,1
AA,DEN,SFO,693,2273,169,1
B6,JFK,SFO,1775,2046,-5,0
NK,LAX,ORD,1914,1360,84,1
UA,DFW,ATL,1450,97,43,1
DL,ORD,SFO,1063,1842,149,1
NK,LAX,ORD,910,844,42,1
WN,LAS,JFK,1024,761,-14,0
WN,SFO,LAX,2155,107,117,1
B6,JFK,DFW,1581,249,124,1
WN,JFK,DFW,1723,1495,44,1
AA,ORD,CLT,2215,467,70,1
AA,DEN,ORD,1484,2282,-4,0
UA,LAX,LAS,602,936,78,1
UA,CLT,DFW,831,1101,55,1
NK,ATL,ORD,2980,2035,71,1
UA,CLT,CLT,1567,766,21,1
AA,SFO,LAX,506,662,139,1
AS,LAX,CLT,1905,1367,69,1
AS,LAS,LAS,2125,288,42,1
UA,DFW,CLT,2789,700,22,1
UA,DEN,JFK,2688,1875,164,1
AA,LAX,LAS,2019,1479,108,1
B6,ORD,JFK,2366,2098,44,1
NK,CLT,LAS,1595,265,84,1
WN,DFW,LAX,249,191,85,1
NK,JFK,CLT,1746,81,104,1
DL,LAS,LAS,2778,1502,46,1
AS,JFK,DEN,1998,1598,163,1
AS,LAS,DEN,979,250,150,1
AA,DEN,ORD,347,1312,86,1
NK,SFO,LAS,910,2225,104,1
AA,JFK,CLT,2820,886,124,1
DL,JFK,LAX,768,1783,131,1
NK,DFW,DFW,1387,427,27,1
DL,LAX,SFO,1998,435,69,1
UA,DFW,JFK,1973,2358,23,1
NK,DFW,CLT,1593,927,-15,0
DL,DEN,ORD,867,43,-15,0
WN,LAS,LAX,1017,1622,95,1
WN,DEN,SFO,2046,2124,154,1
AS,JFK,DFW,2256,122,115,1
WN,DFW,CLT,1329,1517,165,1
NK,LAX,JFK,747,1691,103,1
WN,CLT,LAS,2054,224,163,1
WN,SFO,DEN,1960,1939,6,0
UA,DEN,CLT,1861,1039,3,0
AS,LAX,DEN,498,932,67,1
AA,ORD,SFO,2795,662,82,1
AS,LAS,CLT,1251,675,-5,0
AS,LAS,LAS,2996,2017,87,1
AS,SFO,ATL,1816,2004,59,1
DL,LAX,ORD,1815,154,112,1
AA,SFO,LAX,951,1525,99,1
DL,JFK,LAX,2991,2137,67,1
UA,LAS,ATL,2034,2243,49,1
UA,LAS,CLT,2641,1171,48,1
B6,DEN,DEN,772,2021,9,0
B6,JFK,ORD,1914,1497,75,1
UA,CLT,ATL,346,927,-17,0
UA,DEN,ORD,2976,1623,24,1
DL,LAS,ORD,2569,805,-3,0
UA,LAS,LAS,2944,1872,34,1
NK,SFO,ORD,2034,1790,126,1
AA,ATL,LAX,2623,1065,174,1
DL,JFK,LAX,2035,1722,-3,0
UA,ORD,CLT,604,2267,37,1
DL,DEN,ORD,405,1822,26,1
DL,JFK,LAS,1446,2183,22,1
WN,ATL,ORD,2005,1101,89,1
B6,CLT,LAX,2139,1594,141,1
DL,CLT,CLT,1821,1365,-7,0
AS,DEN,DEN,1016,581,29,1
NK,DEN,ATL,2112,405,-19,0
NK,ORD,JFK,1010,543,22,1
DL,SFO,DEN,2184,1705,177,1
AS,CLT,SFO,2425,309,58,1
NK,LAX,CLT,1684,2337,31,1
WN,DFW,SFO,989,961,171,1
UA,DEN,LAX,1417,2201,163,1
DL,JFK,ORD,1700,314,88,1
WN,DFW,JFK,2594,286,50,1
AA,ORD,ATL,257,2200,69,1
WN,ORD,DFW,2781,313,143,1
B6,DEN,LAS,2623,2312,126,1
B6,JFK,JFK,1222,1571,124,1
UA,DFW,SFO,729,1645,13,0
AS,DFW,ATL,1647,1149,114,1
UA,DFW,CLT,893,2237,46,1
NK,ORD,LAX,2136,2186,-14,0
AS,DEN,DFW,927,1511,78,1
AS,JFK,LAX,1563,72,42,1
AS,JFK,LAX,2351,2234,148,1
AS,LAX,SFO,460,2348,-16,0
B6,ATL,ATL,1097,2133,-17,0
NK,LAS,LAS,2110,355,170,1
B6,CLT,LAX,2901,773,42,1
DL,LAX,SFO,2962,409,144,1
NK,JFK,CLT,597,1343,53,1
B6,ATL,JFK,1533,640,13,0
UA,DFW,JFK,1181,142,153,1
B6,LAX,SFO,2528,1079,37,1
NK,DEN,DFW,1074,1624,8,0
NK,CLT,SFO,1203,2340,12,0
UA,DFW,JFK,721,533,126,1
AA,ATL,LAS,1703,430,24,1
NK,SFO,LAX,908,1583,130,1
B6,DFW,DFW,2198,1986,104,1
UA,CLT,ATL,2990,962,82,1
AS,SFO,DFW,2062,360,166,1
NK,DFW,LAS,234,1365,110,1
WN,CLT,DFW,2185,693,14,0
AS,JFK,ATL,2196,1831,16,1
DL,CLT,ATL,638,2295,57,1
NK,ORD,DFW,1682,1778,150,1
UA,JFK,JFK,1122,883,71,1
AS,LAS,LAS,1202,1232,62,1
B6,DEN,JFK,1599,2026,34,1
B6,CLT,SFO,2491,1578,-5,0
NK,ATL,ATL,1213,893,86,1
AA,LAX,LAS,1349,1075,74,1
WN,DEN,JFK,1313,499,-16,0
NK,LAX,ATL,1057,1841,16,1
UA,JFK,SFO,1437,1856,-1,0
AS,SFO,LAX,2751,615,22,1
WN,SFO,DFW,1101,1434,106,1
AA,DEN,SFO,1120,2233,117,1
NK,LAX,ORD,892,577,118,1
DL,DFW,CLT,2703,808,77,1
WN,JFK,ATL,814,1594,77,1
AA,LAX,DFW,1794,1947,57,1
NK,DFW,DFW,2368,742,172,1
NK,DFW,SFO,1418,1158,20,1
UA,SFO,CLT,1515,1518,16,1
NK,DFW,JFK,1322,1670,150,1
DL,DEN,SFO,2313,1892,-10,0
NK,LAX,CLT,333,746,122,1
B6,DFW,LAX,2992,628,130,1
AA,CLT,JFK,2049,1965,25,1
B6,JFK,LAS,1059,1314,14,0
NK,SFO,LAS,2856,1561,58,1
DL,CLT,ORD,959,1663,56,1
AA,DFW,LAS,1451,150,133,1
AA,ATL,JFK,2303,763,163,1
NK,JFK,JFK,2704,560,-4,0
DL,LAS,LAX,2107,982,92,1
UA,LAX,SFO,1517,1083,116,1
AA,DFW,ATL,684,1858,68,1
DL,SFO,LAS,2425,297,-19,0
WN,CLT,DEN,887,956,136,1
B6,ATL,CLT,363,1247,26,1
AA,JFK,SFO,2929,1075,-18,0
WN,SFO,LAS,1726,1644,102,1
AA,LAS,LAS,1090,612,65,1
UA,JFK,LAX,1813,363,63,1
NK,JFK,JFK,1275,2056,169,1
DL,SFO,LAS,1931,1062,137,1
AA,LAS,LAS,2989,436,100,1
DL,DFW,ORD,501,2334,106,1
AS,ATL,SFO,899,1708,153,1
AA,DEN,CLT,2072,568,43,1
UA,LAS,LAX,245,388,-8,0
UA,LAX,ORD,1120,1782,7,0
NK,DFW,SFO,376,687,132,1
NK,ATL,ORD,582,642,100,1
WN,ORD,LAS,1946,1343,98,1
UA,DFW,SFO,2573,1361,113,1
DL,SFO,LAS,2692,403,42,1
AS,ORD,SFO,1366,1787,79,1
UA,ORD,DEN,531,1773,-17,0
AA,DEN,DFW,578,2040,175,1
UA,DFW,LAX,1414,1051,111,1
AS,ORD,CLT,828,437,137,1
DL,JFK,ATL,1583,930,42,1
AA,LAX,CLT,2740,1215,9,0
WN,ORD,DEN,2044,2117,136,1
WN,ATL,DEN,559,467,140,1
WN,DFW,ORD,1460,1750,83,1
NK,LAS,SFO,1059,2099,-2,0
AA,ATL,SFO,732,699,21,1
WN,LAS,DFW,2124,1584,-16,0
NK,DFW,DEN,1702,956,20,1
UA,ORD,DEN,2921,509,8,0
AA,SFO,CLT,1007,713,124,1
AA,CLT,LAS,1338,4,154,1
AA,LAS,DEN,1154,617,12,0
B6,LAS,ORD,2032,111,77,1
NK,DEN,DFW,1744,298,177,1
DL,LAS,JFK,2538,1343,55,1
B6,ORD,JFK,1176,2237,-12,0
B6,LAX,JFK,1554,1381,57,1
B6,DFW,LAS,2130,341,46,1
DL,SFO,LAX,1164,209,45,1
B6,SFO,JFK,1159,1471,-2,0
WN,DEN,DFW,1135,1122,159,1
AA,ORD,CLT,437,1024,115,1
AA,DEN,DFW,1362,1573,43,1
NK,JFK,DFW,1924,850,11,0
UA,ORD,LAX,2022,413,161,1
AS,LAX,SFO,1125,519,20,1
WN,ATL,JFK,2138,261,7,0
DL,CLT,LAX,1943,1108,121,1
AS,ORD,DFW,1153,1863,92,1
AA,DEN,SFO,2524,369,24,1
B6,JFK,SFO,2291,1018,134,1
NK,ATL,CLT,946,332,113,1
NK,DFW,DEN,486,1857,157,1
UA,DFW,ORD,2807,1306,176,1
UA,JFK,CLT,2785,605,22,1
AA,LAS,JFK,270,405,112,1
WN,DFW,ORD,2412,1546,158,1
NK,LAS,CLT,2095,441,175,1
AS,SFO,ORD,478,461,65,1
UA,DFW,DFW,1192,641,82,1
AA,LAS,DFW,2216,2316,156,1
WN,DFW,SFO,441,788,21,1
AA,LAS,ATL,2555,841,54,1
AA,DFW,LAX,2313,1019,134,1
WN,JFK,LAX,2485,705,31,1
WN,SFO,SFO,2998,1347,33,1
WN,DFW,ORD,2539,1656,94,1
AA,DFW,LAX,2349,873,150,1
UA,DEN,DFW,707,2063,118,1
DL,DEN,LAX,1049,558,140,1
DL,SFO,DFW,2128,1959,11,0
AA,CLT,CLT,1577,1690,15,1
AA,JFK,DEN,1003,1818,115,1
UA,ORD,JFK,725,1655,133,1
WN,DEN,SFO,1835,1345,130,1
AA,JFK,ATL,1232,2005,22,1
NK,DFW,ATL,320,2021,177,1
B6,DFW,LAS,2890,546,109,1
WN,LAS,DEN,721,1806,126,1
NK,LAX,SFO,1848,595,165,1
AA,SFO,LAX,466,877,61,1
B6,LAS,ORD,2698,712,43,1
NK,CLT,JFK,2806,1513,176,1
AS,JFK,DFW,2353,1494,160,1
UA,JFK,SFO,2496,985,154,1
B6,LAX,DEN,2900,949,-4,0
AA,JFK,DEN,829,116,49,1
DL,CLT,DEN,869,1243,62,1
NK,SFO,ATL,1397,1950,86,1
AA,DEN,SFO,1855,740,-16,0
DL,LAX,DEN,2917,511,59,1
UA,LAS,DFW,1823,45,7,0
UA,JFK,SFO,1922,973,83,1
WN,JFK,SFO,491,2095,143,1
NK,LAX,LAX,2515,1483,45,1
WN,SFO,DFW,2779,2140,110,1
DL,JFK,SFO,1599,551,168,1
DL,ORD,CLT,1312,1422,86,1
UA,CLT,LAS,2180,888,174,1
B6,SFO,ATL,2407,327,-18,0
DL,CLT,DFW,2612,2275,40,1
DL,DEN,CLT,1960,452,29,1
NK,CLT,CLT,2219,1110,-17,0
B6,DFW,LAX,1115,188,122,1
WN,LAS,JFK,767,1899,118,1
WN,JFK,ATL,2739,1487,80,1
DL,SFO,LAX,2340,972,51,1
NK,DEN,ORD,1265,1675,12,0
WN,CLT,LAX,2995,321,21,1
WN,LAX,ATL,2634,2143,-19,0
AS,JFK,CLT,651,1250,110,1
NK,JFK,LAS,1291,1600,101,1
WN,LAX,SFO,1428,2087,23,1
UA,DFW,LAX,2070,1063,-2,0
AA,SFO,SFO,704,923,136,1
DL,LAS,DEN,1116,1094,4,0
DL,ATL,ATL,2542,474,100,1
UA,LAS,JFK,1925,699,142,1
AA,ORD,JFK,710,1,1,0
AA,DEN,DEN,857,345,56,1
UA,LAS,SFO,2443,1395,-3,0
B6,JFK,JFK,2061,1362,55,1
B6,ATL,LAX,1974,1208,78,1
AA,DFW,LAS,1987,174,-6,0
B6,DEN,ATL,1198,1236,78,1
B6,CLT,ATL,656,1098,121,1
B6,LAX,DEN,661,1710,22,1
AA,DEN,DFW,430,2164,30,1
B6,SFO,LAS,2407,645,145,1
DL,DEN,ORD,1016,2221,47,1
AS,ATL,CLT,577,262,85,1
AA,DEN,JFK,979,799,147,1
UA,ATL,SFO,1742,1873,112,1
B6,LAS,CLT,1377,549,125,1
WN,JFK,LAS,1123,821,73,1
AA,LAS,JFK,464,1518,179,1
NK,ATL,JFK,2736,1641,-19,0
UA,ORD,CLT,2397,831,34,1
AS,DFW,LAX,2623,636,176,1
DL,ORD,DEN,2890,1277,117,1
NK,JFK,CLT,473,786,87,1
UA,CLT,DEN,2750,66,35,1
B6,LAS,LAS,2541,963,129,1
WN,DEN,CLT,1385,672,54,1
B6,LAX,SFO,1621,2147,51,1
UA,DEN,DFW,1635,478,150,1
AA,DEN,JFK,879,1522,49,1
NK,DEN,LAX,1057,1385,67,1
WN,LAS,LAX,2810,752,62,1
NK,ATL,JFK,1319,1486,-11,0
NK,LAX,DFW,2326,721,132,1
WN,CLT,ORD,2168,2038,179,1
UA,DEN,CLT,2965,1195,138,1
AS,JFK,LAX,1323,1909,70,1
AS,DEN,ORD,647,945,128,1
B6,LAX,LAS,1856,2068,104,1
UA,ATL,LAX,2349,1738,127,1
WN,LAX,LAS,1450,386,21,1
UA,ATL,LAS,688,1920,71,1
WN,SFO,ORD,2160,243,69,1
NK,CLT,DFW,953,859,107,1
B6,ORD,LAX,2852,769,178,1
AA,JFK,JFK,423,609,92,1
NK,JFK,ORD,2227,2076,43,1
AA,SFO,CLT,1156,1863,88,1
UA,JFK,LAX,1902,767,169,1
WN,ORD,DFW,2440,2209,105,1
AA,DFW,ATL,2270,984,70,1
NK,DFW,LAS,1743,2294,150,1
WN,ATL,DFW,2861,1338,69,1
B6,CLT,JFK,945,450,156,1
NK,ORD,SFO,2348,640,3,0
UA,CLT,LAS,2361,1428,112,1
WN,DEN,DEN,948,1734,4,0
UA,ATL,CLT,858,320,146,1
WN,ORD,LAS,2156,1422,3,0
NK,LAX,SFO,421,535,8,0
AS,DEN,DFW,1532,527,-13,0
AS,JFK,ORD,2575,22,16,1
WN,CLT,ATL,505,574,129,1
B6,DFW,ATL,241,1416,139,1
UA,SFO,SFO,2110,2040,149,1
DL,SFO,LAS,2222,1864,32,1
WN,DEN,LAX,1633,1655,-16,0
WN,DFW,LAX,2155,213,24,1
AS,LAX,ATL,1250,920,23,1
AA,ORD,CLT,2851,890,62,1
NK,ORD,JFK,2299,952,29,1
AS,DFW,DEN,1528,614,61,1
UA,LAX,JFK,1223,570,139,1
AS,JFK,LAS,1758,808,163,1
DL,ATL,DFW,2976,126,-14,0
B6,ORD,ORD,1392,1046,54,1
NK,ORD,JFK,1394,1986,-9,0
DL,DEN,ATL,1595,1970,63,1
B6,LAS,DEN,784,1801,143,1
DL,LAX,CLT,321,424,-4,0
NK,DFW,LAS,1674,249,52,1
AS,LAX,ATL,956,2124,83,1
DL,DEN,DFW,1967,1377,-13,0
AS,JFK,CLT,313,588,39,1
NK,JFK,ORD,2530,1627,80,1
AS,LAS,ATL,928,2335,1,0
UA,DFW,DEN,342,2037,136,1
AS,LAS,DFW,1917,1588,17,1
AA,CLT,CLT,656,707,150,1
DL,LAS,LAX,1082,388,101,1
NK,LAS,LAS,1736,1380,152,1
WN,CLT,JFK,1603,938,76,1
WN,ORD,LAX,1107,2050,-8,0
WN,SFO,CLT,2446,155,55,1
NK,ATL,CLT,1625,2206,38,1
AA,CLT,CLT,1240,1419,60,1
AS,SFO,LAX,235,357,113,1
DL,LAS,CLT,812,1819,127,1
B6,CLT,DFW,641,1259,129,1
B6,ORD,ATL,1459,1896,174,1
NK,DFW,LAX,1021,1517,69,1
UA,ORD,LAS,329,1857,112,1
AA,LAS,ORD,626,303,-5,0
DL,JFK,DFW,2666,2240,146,1
AS,SFO,ATL,338,549,133,1
WN,LAS,LAS,936,1405,64,1
AA,ORD,ATL,738,17,76,1
AA,SFO,DFW,2495,316,22,1
DL,SFO,CLT,1009,1739,82,1
NK,LAX,ATL,2358,273,174,1
AS,DFW,LAX,2684,189,156,1
NK,SFO,LAX,1036,2158,119,1
NK,LAX,LAS,2862,689,-5,0
UA,LAX,DEN,1080,718,97,1
NK,DEN,JFK,812,512,58,1
AS,LAX,LAX,1662,1112,-19,0
UA,JFK,LAS,1613,1332,156,1
UA,ORD,CLT,807,898,0,0
WN,JFK,LAS,1784,622,86,1
WN,DEN,DEN,2496,805,31,1
DL,ATL,ORD,2658,1239,91,1
AS,LAX,ATL,1501,661,-8,0
NK,SFO,SFO,2970,625,-1,0
UA,SFO,CLT,2012,371,72,1
DL,CLT,LAS,2790,1403,66,1
UA,SFO,CLT,2254,84,22,1
AA,JFK,LAX,2787,2229,161,1
B6,ORD,LAX,696,880,82,1
B6,JFK,DFW,576,357,174,1
UA,LAX,LAX,1346,347,155,1
DL,JFK,JFK,2824,802,125,1
WN,LAS,ATL,442,1647,154,1
AS,SFO,JFK,1614,2268,138,1
UA,LAS,ATL,2174,436,142,1
UA,CLT,ATL,1805,617,62,1
AS,LAX,DEN,2676,486,20,1
NK,JFK,DFW,1653,1897,159,1
WN,DFW,LAS,439,1857,7,0
UA,SFO,CLT,2279,1872,-1,0
AA,LAX,DEN,1118,63,-15,0
WN,ATL,DEN,1830,1819,45,1
AA,SFO,DEN,1463,892,27,1
B6,LAS,ATL,1565,1409,108,1
AS,DEN,DFW,1736,1255,8,0
WN,SFO,ATL,534,2343,23,1
NK,CLT,LAX,1237,2034,157,1
WN,CLT,DFW,2007,834,68,1
DL,LAS,JFK,2694,1915,55,1
DL,LAX,LAS,1327,397,32,1
AS,SFO,LAS,1272,291,88,1
NK,LAX,LAS,2721,1431,60,1
WN,SFO,LAX,1376,1546,118,1
B6,LAS,ORD,1942,217,-2,0
NK,ATL,CLT,2299,587,140,1
UA,DFW,LAX,1107,1590,-3,0
AS,DFW,DEN,1762,245,138,1
NK,LAX,LAS,1380,255,53,1
AS,ORD,SFO,702,351,67,1
NK,JFK,ORD,2550,492,-20,0
DL,ORD,CLT,2717,828,60,1
B6,DFW,LAS,1167,1411,15,1
AS,LAS,DFW,2737,320,139,1
B6,JFK,CLT,2237,961,90,1
AS,DEN,CLT,2592,444,60,1
DL,LAX,JFK,1924,1512,112,1
UA,DEN,LAX,2700,2305,2,0
DL,DEN,SFO,608,1274,62,1
AS,JFK,JFK,2366,590,162,1
B6,DFW,ATL,1333,301,179,1
AA,LAX,SFO,507,717,115,1
DL,JFK,DFW,802,868,157,1
B6,LAS,LAX,358,1394,100,1
NK,DEN,ORD,1194,291,156,1
NK,JFK,CLT,1232,358,120,1
DL,LAS,JFK,1125,570,168,1
AS,LAS,DFW,2436,1251,89,1
NK,SFO,ORD,2492,2119,139,1
B6,LAS,LAS,1324,1837,89,1
UA,JFK,DEN,1388,1282,172,1
B6,ORD,DFW,2568,2130,84,1
NK,CLT,ORD,1695,1299,94,1
NK,ORD,ATL,2062,42,131,1
WN,CLT,CLT,692,1991,163,1
AA,ORD,JFK,2595,263,131,1
AS,ATL,SFO,1276,1100,23,1
B6,ATL,JFK,1177,1646,163,1
NK,DFW,JFK,2561,1212,81,1
AS,ATL,ATL,722,1507,57,1
DL,SFO,LAX,2303,948,170,1
DL,ATL,JFK,2055,1617,-7,0
B6,JFK,CLT,2883,1200,103,1
WN,DFW,SFO,535,603,120,1
NK,CLT,LAS,651,688,53,1
B6,DEN,LAX,2245,1488,173,1
UA,ATL,DEN,1805,1984,135,1
WN,ATL,ORD,1435,765,110,1
NK,JFK,DFW,1144,1789,106,1
NK,JFK,LAS,962,2332,103,1
AS,ORD,ORD,1161,1238,155,1
B6,ATL,LAS,956,68,49,1
NK,ATL,CLT,474,910,114,1
AS,LAX,LAS,2555,1023,131,1
NK,LAS,LAX,2816,1296,140,1
AA,CLT,ATL,1362,1943,79,1
WN,ORD,ORD,2662,107,170,1
B6,LAX,DEN,859,2191,90,1
AA,JFK,CLT,1061,1102,53,1
B6,LAS,SFO,464,727,128,1
UA,DFW,LAX,2190,621,98,1
DL,CLT,DFW,984,1236,145,1
AS,ATL,ATL,990,1402,77,1
B6,LAX,JFK,2897,1985,18,1
WN,DFW,DFW,349,2217,33,1
B6,CLT,DFW,798,313,165,1
B6,DEN,DFW,593,1964,174,1
B6,CLT,ORD,2836,519,64,1
NK,ORD,JFK,2867,718,114,1
B6,DFW,SFO,1006,878,5,0
NK,LAX,LAS,994,488,83,1
WN,ORD,DEN,1479,1763,179,1
WN,SFO,ATL,2034,821,176,1
B6,JFK,DFW,2893,738,5,0
NK,CLT,ORD,991,656,8,0
DL,DFW,ATL,2998,1779,129,1
B6,LAX,ORD,2948,1219,40,1
AS,ORD,SFO,2254,2346,102,1
AS,ATL,ATL,767,2261,149,1
WN,LAX,DEN,2317,216,52,1
AS,DFW,CLT,263,194,156,1
AS,SFO,CLT,358,120,44,1
UA,LAS,DEN,2323,313,5,0
B6,JFK,LAS,442,1994,-4,0
B6,DEN,DEN,1839,352,170,1
B6,DEN,LAS,2173,1121,106,1
B6,JFK,DEN,537,347,90,1
AA,LAX,LAS,1472,1536,-2,0
B6,CLT,CLT,2200,1221,164,1
NK,DEN,SFO,906,1696,160,1
WN,JFK,CLT,2623,94,96,1
NK,DEN,ATL,1979,1597,42,1
WN,SFO,SFO,2489,376,161,1
AA,LAX,LAX,2254,1144,116,1
B6,ATL,ORD,997,1687,-19,0
DL,SFO,ORD,1399,2109,125,1
NK,DEN,DFW,1200,876,75,1
B6,CLT,ATL,2199,1786,89,1
WN,DEN,JFK,2041,383,95,1
NK,LAX,SFO,887,2270,64,1
UA,JFK,LAX,2441,1963,-18,0
AS,DFW,CLT,924,2196,54,1
UA,LAS,ATL,1114,228,142,1
DL,LAX,DFW,1198,2092,-8,0
B6,SFO,ATL,923,2325,174,1
AA,LAS,ATL,2715,1066,-15,0
B6,ATL,DEN,2096,1827,136,1
DL,ATL,DFW,2206,2355,62,1
DL,DFW,DEN,642,352,12,0
AS,DEN,LAX,2386,216,103,1
DL,SFO,JFK,2196,2354,-16,0
UA,LAS,ORD,299,215,137,1
AS,DEN,CLT,1389,151,174,1
B6,ORD,JFK,2562,1521,52,1
NK,LAX,CLT,1153,1992,170,1
B6,DEN,LAX,658,911,132,1
AA,LAS,ATL,1999,1228,85,1
DL,ORD,ORD,1024,1122,107,1
DL,ATL,JFK,2118,1587,163,1
WN,ORD,CLT,419,1953,27,1
AS,SFO,JFK,1332,1901,32,1
WN,ATL,SFO,1864,1841,108,1
AS,DEN,ORD,2568,96,162,1
UA,DEN,ORD,668,1161,104,1
AS,LAS,LAS,1746,2259,15,1
B6,DFW,CLT,514,426,86,1
AA,SFO,ORD,659,933,116,1
NK,JFK,LAS,805,1839,13,0
AS,CLT,DEN,1728,401,20,1
AS,LAX,ORD,668,1920,12,0
AS,ATL,SFO,2782,260,117,1
AA,SFO,ATL,2038,134,121,1
DL,DEN,DEN,2028,1621,9,0
AA,ATL,LAX,2730,1110,94,1
DL,CLT,LAS,1076,829,108,1
NK,SFO,ORD,353,500,87,1
B6,DEN,ATL,666,1435,121,1
AA,DFW,LAS,1831,577,54,1
DL,DFW,SFO,1967,69,157,1
B6,SFO,LAX,2451,1949,-7,0
B6,DEN,JFK,2292,1847,-7,0
DL,ATL,SFO,2989,325,123,1
DL,SFO,LAX,2942,310,51,1
UA,DFW,DEN,1241,2145,-14,0
B6,SFO,DEN,771,386,-3,0
DL,SFO,DFW,2142,2263,30,1
B6,LAX,LAX,1866,1862,20,1
AA,ATL,LAS,2882,1255,-10,0
NK,ATL,JFK,1626,654,-4,0
WN,SFO,JFK,1272,1784,-7,0
WN,CLT,LAX,1220,530,162,1
AS,JFK,CLT,1825,834,-18,0
DL,SFO,DFW,2291,1117,46,1
DL,DEN,ORD,699,1518,55,1
B6,JFK,ATL,1196,1805,27,1
AS,CLT,ATL,2529,69,-9,0
DL,DFW,LAS,609,59,75,1
B6,SFO,DFW,2224,1292,172,1
DL,CLT,ATL,963,1994,167,1
B6,SFO,SFO,2758,1224,58,1
DL,JFK,DEN,284,1204,39,1
UA,DEN,LAX,244,227,145,1
NK,JFK,ATL,1085,539,72,1
B6,ATL,ORD,1432,1190,55,1
NK,ATL,LAS,2929,61,131,1
UA,CLT,DEN,1304,2003,178,1
UA,DEN,LAX,1943,167,-10,0
UA,SFO,DFW,702,2065,41,1
UA,SFO,DEN,2284,126,121,1
AA,SFO,JFK,1336,392,157,1
NK,LAX,DEN,1178,1202,120,1
AS,DEN,ORD,603,2283,170,1
NK,CLT,CLT,685,58,22,1
WN,CLT,DFW,2261,921,154,1
AA,ATL,DEN,701,2049,153,1
DL,SFO,ATL,1041,1276,-20,0
DL,LAS,JFK,259,471,152,1
AS,CLT,ATL,1543,1905,18,1
WN,LAX,ATL,1297,280,137,1
WN,CLT,ATL,1583,583,3,0
WN,ORD,ORD,613,2229,119,1
UA,ATL,ORD,1227,596,113,1
AA,ORD,JFK,2628,366,6,0
DL,CLT,CLT,1909,609,25,1
AA,ATL,SFO,2042,497,178,1
AA,JFK,ORD,2520,651,-4,0
AA,LAS,SFO,1329,20,105,1
WN,LAS,LAS,1501,1163,63,1
AS,JFK,SFO,2573,2169,63,1
AS,CLT,ATL,1642,336,36,1
WN,LAX,JFK,1073,2012,100,1
DL,SFO,LAS,2722,28,68,1
DL,JFK,CLT,1548,1690,136,1
DL,DEN,ORD,2412,635,-13,0
AS,CLT,LAS,512,2330,110,1
AS,DEN,DFW,959,656,49,1
AA,LAS,ATL,1213,1321,-5,0
WN,JFK,DEN,1879,1961,36,1
UA,LAS,SFO,1289,363,-16,0
AA,ORD,DEN,965,2229,163,1
B6,LAX,LAS,1698,765,142,1
AS,CLT,JFK,1553,1620,90,1
AA,DFW,ATL,1350,684,93,1
WN,JFK,JFK,2040,1874,99,1
B6,JFK,SFO,1070,1630,24,1
NK,LAX,ATL,470,1584,25,1
AA,SFO,JFK,2420,2102,174,1
WN,LAX,JFK,788,1497,127,1
WN,LAS,CLT,2997,2092,118,1
AS,DEN,ATL,1851,212,173,1
UA,ATL,ORD,2466,899,149,1
